candidate_id,rank,score,reasoning
CAND_0046064,1,0.8987,Built data curation pipeline at Salesforce generating high-quality preference pairs.
CAND_0039754,2,0.8747,Owned end-to-end ranking pipeline using Pinecone retrieval and XGBoost re-scoring at Meta.
CAND_0080766,3,0.8665,Designed Salesforce's offline experimentation environment and online A/B testing framework.
CAND_0055905,4,0.8921,"Owned semantic search system at an unspecified company, serving 35M+ items."
CAND_0077337,5,0.8923,Built a production recommendation system at a marketplace product in 5 months.
CAND_0094759,6,0.8458,"Led migration to embedding-based search at Meta, across 30M+ corpus."
CAND_0046525,7,0.8911,Led migration to embedding-based search across 30M+ candidate corpus at LinkedIn.
CAND_0033861,8,0.8211,Built data curation pipeline at Mad Street Den generating 200K high-quality preference pairs.
CAND_0030953,9,0.7811,Trained ranking models using XGBoost and LightGBM for Nykaa's discovery feed.
CAND_0086151,10,0.7268,Evolved e-commerce search ranking layer at Wysa to a learning-to-rank model.
CAND_0049896,11,0.7377,Built document ingestion pipeline using OpenAI embeddings and Pinecone at Unacademy.
CAND_0005649,12,0.722,Developed semantic search for Sarvam AI's internal knowledge base.
CAND_0011687,13,0.7141,Owned ranking pipeline using Pinecone retrieval and XGBoost re-scoring at Niramai.
CAND_0031593,14,0.7093,Evolved e-commerce search ranking layer to a learning-to-rank model at Genpact AI.
CAND_0069905,15,0.7069,Developed semantic search for Sarvam AI's internal knowledge base.
CAND_0053591,16,0.7016,Trained ranking models using XGBoost and LightGBM for Ola's discovery feed.
CAND_0088025,17,0.6974,Owned Pinecone retrieval and BGE-large embedding generation at a recommendations-heavy consumer product.
CAND_0083307,18,0.6966,Built document ingestion pipeline using OpenAI embeddings and Pinecone at CRED.
CAND_0024147,19,0.6943,"Built recommendation-style features at a mid-stage startup, similar to Qdrant."
CAND_0062247,20,0.6932,Developed semantic search for Google's internal knowledge base.
CAND_0064326,21,0.6925,Evolved e-commerce search ranking layer at Sarvam AI to a learning-to-rank model.
